id,formula,Tc,Time,doi,cif,system,SG_num,SG_syb,density,,,,,,
11621,Ba0.51Bi1K0.49O3,17.20 ,1994,10.1063/1.111517,11642,trigonal,P-3m1,251.37,7.17,6.19,6.19,7.58,90,90,120
11622,Ba0.52Bi1K0.48O3,18.70 ,1991,10.1016/0038-1098(91)90216-I,11642,trigonal,P-3m1,251.37,7.17,6.19,6.19,7.58,90,90,120
11623,Ba0.542Bi1K0.458O3,23.10 ,2000,10.1016/S0022-0248(99)00766-6,11642,trigonal,P-3m1,251.37,7.17,6.19,6.19,7.58,90,90,120
11624,Ba0.54Bi1K0.46O3,23.00 ,1998,10.1209/epl/i1998-00132-1,11642,trigonal,P-3m1,251.37,7.17,6.19,6.19,7.58,90,90,120
11625,Ba0.553Bi1K0.447O3,25.50 ,2000,10.1016/S0022-0248(99)00766-6,11642,trigonal,P-3m1,251.37,7.17,6.19,6.19,7.58,90,90,120
11626,Ba0.557Bi1K0.443O3,25.00 ,2003,10.1016/S0921-4534(02)01332-1,11642,trigonal,P-3m1,251.37,7.17,6.19,6.19,7.58,90,90,120
11627,Ba0.55Bi1K0.45O3,30.00 ,1994,10.1103/PhysRevB.49.3502,11642,trigonal,P-3m1,251.37,7.17,6.19,6.19,7.58,90,90,120
11628,Ba0.575Bi1K0.425O3,27.30 ,1990,10.1103/PhysRevB.41.4126,11642,trigonal,P-3m1,251.37,7.17,6.19,6.19,7.58,90,90,120
11629,Ba0.57Bi1K0.43O3,21.20 ,1991,10.1016/0038-1098(91)90216-I,11642,trigonal,P-3m1,251.37,7.17,6.19,6.19,7.58,90,90,120
11630,Ba0.584Bi1K0.416O3,28.80 ,2000,10.1016/S0022-0248(99)00766-6,11642,trigonal,P-3m1,251.37,7.17,6.19,6.19,7.58,90,90,120
11631,Ba0.595Bi1K0.405O3,31.20 ,2000,10.1016/S0022-0248(99)00766-6,11642,trigonal,P-3m1,251.37,7.17,6.19,6.19,7.58,90,90,120
11632,Ba0.59Bi1K0.41O3,31.00 ,1998,10.1103/PhysRevB.58.12355,11642,trigonal,P-3m1,251.37,7.17,6.19,6.19,7.58,90,90,120
11633,Ba0.5Bi1K0.5O3,24.00 ,1990,10.1103/PHYSREVB.42.2551,11642,trigonal,P-3m1,251.37,7.17,6.19,6.19,7.58,90,90,120
11634,Ba0.613Bi1K0.387O3,30.70 ,2000,10.1016/S0022-0248(99)00766-6,11642,trigonal,P-3m1,251.37,7.17,6.19,6.19,7.58,90,90,120
11635,Ba0.61Bi1K0.39O3,31.50 ,2003,10.1103/PhysRevB.67.024505,11642,trigonal,P-3m1,251.37,7.17,6.19,6.19,7.58,90,90,120
11636,Ba0.625Bi1K0.375O3,30.00 ,1990,10.1038/347369a0,11642,trigonal,P-3m1,251.37,7.17,6.19,6.19,7.58,90,90,120
11637,Ba0.635Bi1K0.365O3,30.40 ,2003,10.1016/S0921-4534(02)01332-1,11642,trigonal,P-3m1,251.37,7.17,6.19,6.19,7.58,90,90,120
11638,Ba0.63Bi1K0.37O3,32.00 ,1993,10.1016/0921-4534(93)90017-K,11642,trigonal,P-3m1,251.37,7.17,6.19,6.19,7.58,90,90,120
11639,Ba0.644Bi1K0.356O3,29.00 ,2000,10.1016/S0022-0248(99)00766-6,11642,trigonal,P-3m1,251.37,7.17,6.19,6.19,7.58,90,90,120
11640,Ba0.64Bi1K0.36O3,28.50 ,1994,10.1103/PhysRevB.49.3502,11642,trigonal,P-3m1,251.37,7.17,6.19,6.19,7.58,90,90,120
11641,Ba0.65Bi1K0.35O3,31.80 ,1996,10.1103/PhysRevB.54.6133,11642,trigonal,P-3m1,251.37,7.17,6.19,6.19,7.58,90,90,120
11642,Ba2Bi3K1O9,30.00 ,1998,10.1103/PhysRevB.58.12355,11642,trigonal,P-3m1,251.37,7.17,6.19,6.19,7.58,90,90,120
11643,Ba0.75Bi1K0.25O3,NaN,,10.1016/0921-4534(89)91153-2,11643,orthorhombic,Pmm2,337.7,7.27,6.17,6.25,8.75,90,90,90
11644,Ba0.75Na0.25Sb2Ti2O1,5.53 ,2012,10.1021/ja3078889,11754,tetragonal,P4/mmm,140.65,5.82,4.11,4.11,8.31,90,90,90
11645,Ba0.77Bi1K0.23O3,28.00 ,1988,10.1016/0038-1098(88)90155-X,11645,triclinic,P1,334.67,7.34,6.22,6.17,10.69,90,125.32,90
11646,Ba0.7Bi1K0.3O3,29.90 ,1990,10.1103/PhysRevB.41.4126,11645,triclinic,P1,334.67,7.34,6.22,6.17,10.69,90,125.32,90
11647,Ba0.7Cu3Pr1Sr1.3O7,NaN,,10.1103/PHYSREVB.58.1068,11647,orthorhombic,Pmm2,177.14,6.27,3.83,3.94,11.75,90,90,90
11648,Ba0.7K0.3Sb2Ti2O1,NaN,,10.1016/j.solidstatesciences.2013.12.005,11754,tetragonal,P4/mmm,140.65,5.82,4.11,4.11,8.31,90,90,90
11649,Ba0.7Rb0.3Sb2Ti2O1,5.93 ,2014,10.1103/PhysRevB.89.094505,11754,tetragonal,P4/mmm,140.65,5.82,4.11,4.11,8.31,90,90,90
11650,Ba0.85K0.15Sb2Ti2O1,5.86 ,2014,10.1016/j.solidstatesciences.2013.12.005,11754,tetragonal,P4/mmm,140.65,5.82,4.11,4.11,8.31,90,90,90
11651,Ba0.85Na0.15Sb2Ti2O1,5.22 ,2012,10.1021/ja3078889,11754,tetragonal,P4/mmm,140.65,5.82,4.11,4.11,8.31,90,90,90
11652,Ba0.87Bi1K0.13O3,NaN,,10.1016/j.solidstatesciences.2013.12.005,11711,monoclinic,P12_1/c1,334.67,7.83,6.17,6.22,8.72,90.25,90,90
11653,Ba0.88K0.12Sb2Ti2O1,6.10 ,2014,10.1016/j.solidstatesciences.2013.12.005,11754,tetragonal,P4/mmm,140.65,5.82,4.11,4.11,8.31,90,90,90
11654,Ba0.8Bi1K0.2O3,NaN,,10.1016/0921-4534(89)91153-2,11711,monoclinic,P12_1/c1,334.67,7.83,6.17,6.22,8.72,90.25,90,90
11655,Ba0.8K0.2Sb2Ti2O1,3.00 ,2014,10.1016/j.solidstatesciences.2013.12.005,11754,tetragonal,P4/mmm,140.65,5.82,4.11,4.11,8.31,90,90,90
11656,Ba0.8Rb0.2Sb2Ti2O1,6.19 ,2014,10.1103/PhysRevB.89.094505,11754,tetragonal,P4/mmm,140.65,5.82,4.11,4.11,8.31,90,90,90
11657,Ba0.95K0.05Sb2Ti2O1,4.25 ,2014,10.1016/j.solidstatesciences.2013.12.005,11754,tetragonal,P4/mmm,140.65,5.82,4.11,4.11,8.31,90,90,90
11658,Ba0.95Na0.05Sb2Ti2O1,3.14 ,2012,10.1021/ja3078889,11754,tetragonal,P4/mmm,140.65,5.82,4.11,4.11,8.31,90,90,90
11659,Ba0.95Rb0.05Sb2Ti2O1,4.25 ,2014,10.1103/PhysRevB.89.094505,11754,tetragonal,P4/mmm,140.65,5.82,4.11,4.11,8.31,90,90,90
11660,Ba0.96K0.04Sb2Ti2O1,3.88 ,2014,10.1016/j.solidstatesciences.2013.12.005,11754,tetragonal,P4/mmm,140.65,5.82,4.11,4.11,8.31,90,90,90
11661,Ba0.9Bi1K0.1O3,NaN,,10.1016/0921-4534(89)91153-2,11711,monoclinic,P12_1/c1,334.67,7.83,6.17,6.22,8.72,90.25,90,90
11662,Ba0.9K0.1Pb1O3,30.00 ,1994,10.1016/0921-4534(94)91318-8,11662,monoclinic,C12/m1,165.49,7.88,6.15,6.15,6.13,60.23,60.23,89.75
11663,,,,,,,,,,,,,,,
11664,Ba0.9K0.1Sb2Ti2O1,5.13 ,2014,10.1016/j.solidstatesciences.2013.12.005,11754,tetragonal,P4/mmm,140.65,5.82,4.11,4.11,8.31,90,90,90
11665,Ba0.9Na0.1Sb2Ti2O1,4.24 ,2012,10.1021/ja3078889,11754,tetragonal,P4/mmm,140.65,5.82,4.11,4.11,8.31,90,90,90
11666,Ba0.9Rb0.1Sb2Ti2O1,5.33 ,2014,10.1103/PhysRevB.89.094505,11754,tetragonal,P4/mmm,140.65,5.82,4.11,4.11,8.31,90,90,90
11667,Ba1,5.10 ,1971,"ZH.EKSP.TEOR.FIZ.,61(1971)2357, Soviet Physics JETP, 34(1972)1263",11667,orthorhombic,Cmcm,217.49,4.19,5.85,5.85,6.58,90,90,104.99
11668,Ba1.5Cu3La0.5Y1O7,0.30 ,1991,10.1016/0921-4534(91)91574-N,11668,orthorhombic,Fmm2,350.25,6.32,12.3,12.26,5.48,77.47,76.73,25.8
11669,Ba1.72Cu4La0.28Y1O8,18.90 ,1991,10.1016/0921-4534(91)91574-N,15780,orthorhombic,Cmmm,208.6,5.94,13.89,13.89,3.89,90,90,163.86
11670,Ba1.75Cu4Sr0.25Y1O8,NaN,,10.1016/S0925-8388(96)02623-0,15780,orthorhombic,Cmmm,208.6,5.94,13.89,13.89,3.89,90,90,163.86
11671,Ba1.76Cu4Sr0.24Y1O8,76.00 ,2001,10.1103/PhysRevB.64.094518,15780,orthorhombic,Cmmm,208.6,5.94,13.89,13.89,3.89,90,90,163.86
11672,Ba1.78Cu4La0.22Y1O8,37.90 ,1991,10.1016/0921-4534(91)91574-N,15780,orthorhombic,Cmmm,208.6,5.94,13.89,13.89,3.89,90,90,163.86
11673,Ba1.78Cu4Sr0.22Y1O8,NaN,,10.1103/PhysRevB.64.094518,15780,orthorhombic,Cmmm,208.6,5.94,13.89,13.89,3.89,90,90,163.86
11674,Ba1.7Cu2La2.3Ti2O11.15,NaN,,10.1016/0921-4534(96)00137-2,15808,cubic,F-43m,125.51,6.4,5.62,5.62,5.62,60,60,60
11675,Ba1.7Cu3La0.3Y1O7,67.00 ,1988,10.1103/PhysRevB.37.3774,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
11676,Ba1.7Cu3Nd1.3O7,69.00 ,1990,10.1016/0921-4534(90)90171-A,15811,orthorhombic,Pmmm,183.41,6.53,3.89,3.96,11.9,90,90,90
11677,Ba1.7Cu4La0.3Y1O8,52.60 ,1998,10.1016/S0921-4534(97)01730-9,15780,orthorhombic,Cmmm,208.6,5.94,13.89,13.89,3.89,90,90,163.86
11678,Ba1.85Cu2La2Ti2O10.7,NaN,,10.1016/0921-4534(96)00137-2,15808,cubic,F-43m,125.51,6.4,5.62,5.62,5.62,60,60,60
11679,Ba1.85Cu3Sm1.15O7,83.00 ,1995,10.1016/0921-4534(95)00560-9,11679,orthorhombic,Pmmm,181.06,6.67,3.88,3.94,11.85,90,90,90
11680,Ba1.87Cu4La0.13Y1O8,61.00 ,1991,10.1016/0921-4534(91)91574-N,15780,orthorhombic,Cmmm,208.6,5.94,13.89,13.89,3.89,90,90,163.86
11681,Ba1.8Cu1La0.2Tl1O5,NaN,,10.1103/physrevb.50.10238,11681,tetragonal,P4mm,575.09,7.2,7.63,7.63,9.87,90,90,90
11682,Ba1.8Cu3La0.2Y1O7,81.80 ,1993,10.1016/0921-4534(93)91005-G,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
11683,Ba1.8Cu3La1.2O8,NaN,,10.1103/physrevb.50.10238,11683,tetragonal,P4/mmm,186.34,6.52,3.98,3.98,11.74,90,90,90
11684,Ba1.8Cu3Pr1.2O7,NaN,,,15783,orthorhombic,Pmmm,184.02,6.48,3.9,3.96,11.92,90,90,90
11685,Ba1.8Cu4Ho1Sr0.2O8,68.80 ,1997,10.1006/jssc.1996.7198,12015,orthorhombic,Cmmm,207.53,6.58,13.87,13.87,3.88,90,90,163.86
11686,Ba1.8Cu4La0.2Y1O8,44.00 ,1995,10.1103/PhysRevB.52.R7034,15780,orthorhombic,Cmmm,208.6,5.94,13.89,13.89,3.89,90,90,163.86
11687,Ba1.8Cu4Sr0.2Y1O8,79.80 ,2001,10.1103/PhysRevB.64.094518,15780,orthorhombic,Cmmm,208.6,5.94,13.89,13.89,3.89,90,90,163.86
11688,Ba1.8Cu4Sr0.2Yb1O8,82.00 ,1992,10.1016/0921-4534(92)90702-E,12034,orthorhombic,Cmmm,206.54,6.67,14.08,14.08,3.86,90,90,164.35
11689,Ba1.926Ca0.074Cu4Y1O8,83.30 ,1991,10.1016/0921-4534(91)91574-N,15780,orthorhombic,Cmmm,208.6,5.94,13.89,13.89,3.89,90,90,163.86
11690,Ba1.972Ca0.028Cu4Y1O8,79.70 ,1991,10.1016/0921-4534(91)91574-N,15780,orthorhombic,Cmmm,208.6,5.94,13.89,13.89,3.89,90,90,163.86
11691,Ba1.98Cu4La0.02Y1O8,74.30 ,1991,10.1016/0921-4534(91)91574-N,15780,orthorhombic,Cmmm,208.6,5.94,13.89,13.89,3.89,90,90,163.86
11692,Ba1.9Ca0.1Cu4Y1O8,85.40 ,1991,10.1016/0921-4534(91)91574-N,15780,orthorhombic,Cmmm,208.6,5.94,13.89,13.89,3.89,90,90,163.86
11693,Ba1.9Cu3Gd1.1O7,93.00 ,2005,10.1016/j.physc.2004.09.010,15810,orthorhombic,Pmmm,179.86,6.78,3.87,3.93,11.84,90,90,90
11694,Ba1.9Cu3La0.1Y1O6.5,32.90 ,1993,10.1016/0921-4534(93)91005-G,15850,orthorhombic,Pmmm,361.33,6.05,3.91,7.72,11.97,90,90,90
11695,Ba1.9Cu3La0.1Y1O8,64.00 ,1995,10.1103/PhysRevB.52.R7034,11695,tetragonal,P4/mmm,178.98,6.33,3.93,3.93,11.57,90,90,90
11696,Ba1.9Cu4Gd1Sr0.1O8,73.50 ,1997,10.1006/jssc.1996.7198,12014,orthorhombic,Cmmm,209.12,6.46,13.84,13.84,3.9,90,90,163.74
11697,Ba1.9Cu4La0.1Y1O8,61.00 ,1991,10.1016/0921-4534(91)91574-N,15780,orthorhombic,Cmmm,208.6,5.94,13.89,13.89,3.89,90,90,163.86
11698,Ba1Bi0.15Pb0.85O3,8.70 ,1980,10.1007/BF00886008,11706,monoclinic,P12/m1,333.84,7.82,6.16,6.22,8.71,89.98,90,90
11699,,,,,,,,,,,,,,,
11700,Ba1Bi0.17Pb0.83O3,7.60 ,1989,10.1143/JPSJ.58.2135,11706,monoclinic,P12/m1,333.84,7.82,6.16,6.22,8.71,89.98,90,90
11701,,,,,,,,,,,,,,,
11702,Ba1Bi0.1Pb0.9O3,2.91 ,1980,10.1007/BF00886008,11706,monoclinic,P12/m1,333.84,7.82,6.16,6.22,8.71,89.98,90,90
11703,,,,,,,,,,,,,,,
11704,Ba1Bi0.22Pb0.78O3,10.30 ,1989,10.1143/JPSJ.58.2135,11706,monoclinic,P12/m1,333.84,7.82,6.16,6.22,8.71,89.98,90,90
11705,,,,,,,,,,,,,,,
11706,Ba1Bi0.25Pb0.75O3,12.50 ,2005,10.1134/1.2056632,11706,monoclinic,P12/m1,333.84,7.82,6.16,6.22,8.71,89.98,90,90
11707,Ba1Bi0.2Pb0.8O3,10.25 ,1980,10.1007/BF00886008,11706,monoclinic,P12/m1,333.84,7.82,6.16,6.22,8.71,89.98,90,90
11708,,,,,,,,,,,,,,,
11709,Ba1Bi0.3Pb0.7O3,11.23 ,1980,10.1007/BF00886008,11706,monoclinic,P12/m1,333.84,7.82,6.16,6.22,8.71,89.98,90,90
11710,,,,,,,,,,,,,,,
11711,Ba1Bi1O3,NaN,,10.1016/0038-1098(94)90493-6,11711,monoclinic,P12_1/c1,334.67,7.83,6.17,6.22,8.72,90.25,90,90
11712,Ba1Bi2Ti2O1,4.60 ,2018,10.1103/PhysRevB.98.220507,11712,tetragonal,P4/mmm,147.46,7.51,4.12,4.12,8.71,90,90,90
11713,Ba1Bi3,5.98 ,2018,10.1103/PhysRevB.98.220506,11713,cubic,Pm-3m,136.78,9.28,5.15,5.15,5.15,90,90,90
11714,Ba1C6,NaN,,10.1103/PhysRevLett.99.027001,11714,hexagonal,P6_3/mmc,172.39,4.03,4.32,4.32,10.68,90,90,120
11715,Ba1Ca1Sn1,NaN,,10.1103/PhysRevB.80.064514,11715,orthorhombic,Pnma,461.32,4.26,5.32,8.93,9.72,90,90,90
11716,Ba1Cu0.2Si1.8,3.02 ,2012,10.1143/JPSJ.81.114717,15855,cubic,P4_332,308.94,4.16,6.76,6.76,6.76,90,90,90
11717,Ba1Cu1Gd2O5,NaN,,10.1016/0038-1098(88)90014-2,11717,orthorhombic,Pnma,523.72,7.55,12.38,5.77,7.34,90,90,90
11718,Ba1Cu1Tl0.76O4.5,86.00 ,1990,10.1063/1.347020,11718,tetragonal,I4/mmm,220.69,7.06,16.06,16.06,16.06,166.66,166.66,18.91
11719,Ba1Cu1Y2O5,NaN,,10.1016/0011-2275(94)90053-1,11719,orthorhombic,Pnma,508.77,5.99,5.72,7.25,12.28,90,90,90
11720,Ba1Fe1.9Se3,11.00 ,2011,10.1103/PhysRevB.84.214511,11722,orthorhombic,Pnma,606.82,5.32,5.42,9.2,12.16,90,90,90
11721,Ba1Fe2P2,NaN,,10.1088/0953-8984/21/38/382203,11721,tetragonal,I4/mmm,89.1,5.8,3.79,3.79,6.75,106.33,106.33,90
11722,Ba1Fe2Se3,11.00 ,2011,10.1088/0953-8984/23/40/402201,11722,orthorhombic,Pnma,606.82,5.32,5.42,9.2,12.16,90,90,90
11723,Ba1Ga0.78Si1.22,4.00 ,2002,10.1016/S0921-4534(01)01122-4,11725,hexagonal,P-6m2,80.6,4.84,4.24,4.24,5.18,90,90,120
11724,Ba1Ga1Ge1,2.40 ,2009,10.1103/PhysRevB.80.064514,11724,hexagonal,P6_3/mmc,336.73,5.52,4.35,4.35,20.59,90,90,120
11725,Ba1Ga1Si1,4.20 ,2009,10.1103/PhysRevB.80.064514,11725,hexagonal,P-6m2,80.6,4.84,4.24,4.24,5.18,90,90,120
11726,Ba1Ga2,NaN,,10.1016/S0921-4534(02)01208-X,11726,hexagonal,P6/mmm,87.06,5.28,4.4,4.4,5.19,90,90,120
11727,Ba1Ge0.2Ni2P1.8,2.59 ,2012,10.1103/PhysRevB.86.100505,11735,tetragonal,I4/mmm,92.33,5.69,3.91,3.91,6.64,107.11,107.11,90
11728,Ba1Ge12Pt4,5.35 ,2007,10.1103/PhysRevLett.99.217001,11728,cubic,Im-3,331.85,8.95,7.55,7.55,7.55,109.47,109.47,109.47
11729,Ba1Ge1In1,NaN,,10.1103/PhysRevB.80.064514,11729,trigonal,P3m1,97.98,5.5,4.71,4.71,5.09,90,90,120
11730,Ba1Ge2,4.93 ,1980,10.1016/0022-5088(80)90297-0,11730,orthorhombic,Pnma,741.27,5.06,6.87,9.2,11.73,90,90,90
11731,Ba1Ge3,4.00 ,2011,10.1021/ic200826d,11731,hexagonal,P6_3/mmc,208.78,5.65,6.89,6.89,5.08,90,90,120
11732,Ba1Hg1,2.32 ,1966,10.1016/0022-3697(66)90083-7,11732,cubic,Pm-3m,72.97,7.69,4.18,4.18,4.18,90,90,90
11733,Ba1Ir2P2,2.10 ,2009,10.1103/PhysRevB.79.180502,11733,tetragonal,I4/mmm,100.79,9.62,3.97,3.97,6.99,106.48,106.48,90
11734,Ba1Nb2O5,NaN,,10.1016/0022-4596(91)90194-M,11734,trigonal,R3mH,129.04,6.59,2.91,7.22,7.22,118.22,97.72,97.72
11735,Ba1Ni2P2,3.00 ,2008,10.1016/j.ssc.2008.05.010,11735,tetragonal,I4/mmm,92.33,5.69,3.91,3.91,6.64,107.11,107.11,90
11736,Ba1Os2P2,NaN,,10.1016/0022-4596(87)90014-4,11736,tetragonal,I4/mmm,101.55,9.48,4.06,4.06,6.8,107.37,107.37,90
11737,Ba1P2Rh2,1.00 ,2009,10.1103/PhysRevB.79.180502,11737,tetragonal,I4/mmm,99.79,6.74,3.95,3.95,6.98,106.44,106.44,90
11738,Ba1P2Ru2,NaN,,10.1016/0022-4596(87)90014-4,11738,tetragonal,I4/mmm,100.29,6.65,4.04,4.04,6.78,107.31,107.31,90
11739,Ba1Pb0.75Sb0.25O3,3.50 ,1989,10.1038/339291a0,11739,triclinic,P-1,330.98,7.45,8.72,8.68,6.13,90,134.47,90
11740,,,,,,,,,,,,,,,
11741,Ba1Pb0.85Sb0.15O3,1.40 ,1989,10.1038/339291a0,11739,triclinic,P-1,330.98,7.45,8.72,8.68,6.13,90,134.47,90
11742,,,,,,,,,,,,,,,
11743,Ba1Pb0.8Sb0.2O3,1.70 ,1989,10.1038/339291a0,11739,triclinic,P-1,330.98,7.45,8.72,8.68,6.13,90,134.47,90
11744,,,,,,,,,,,,,,,
11745,Ba1Pd0.2Si1.8,2.91 ,2012,10.1143/JPSJ.81.114717,15855,cubic,P4_332,308.94,4.16,6.76,6.76,6.76,90,90,90
11746,Ba1Pd2,NaN,,10.1103/PhysRev.107.1558,11746,cubic,Fd-3m1,131.04,8.87,5.7,5.7,5.7,60,60,60
11747,Ba1Pt1Si3,2.00 ,2009,10.1103/PhysRevB.80.064504,11747,tetragonal,I4mm,99.46,6.96,5.95,5.95,5.95,136.23,136.23,63.63
11748,Ba1Pt2,NaN,,10.1103/PhysRev.107.1558,11748,cubic,Fd-3m1,129.44,13.53,5.68,5.68,5.68,60,60,60
11749,Ba1Rh2,6.00 ,1957,10.1103/PhysRev.107.1558,11749,cubic,Fd-3m1,123.95,9.19,5.6,5.6,5.6,60,60.01,60.01
11750,Ba1S3V1,NaN,,10.1103/physrevb.43.13118,11750,triclinic,P1,470.98,4.01,6.81,9,8.97,80.16,67.87,67.6
11751,Ba1Sb1.7Sn0.3Ti2O1,2.20 ,2013,10.7566/JPSJ.82.074707,11754,tetragonal,P4/mmm,140.65,5.82,4.11,4.11,8.31,90,90,90
11752,Ba1Sb1.8Sn0.2Ti2O1,2.20 ,2013,10.7566/JPSJ.82.074707,11754,tetragonal,P4/mmm,140.65,5.82,4.11,4.11,8.31,90,90,90
11753,Ba1Sb1.9Sn0.1Ti2O1,NaN,,10.7566/JPSJ.82.074707,11754,tetragonal,P4/mmm,140.65,5.82,4.11,4.11,8.31,90,90,90
11754,Ba1Sb2Ti2O1,1.48 ,2013,10.7566/JPSJ.82.033705,11754,tetragonal,P4/mmm,140.65,5.82,4.11,4.11,8.31,90,90,90
11755,Ba1Si2,5.30 ,1995,10.1016/0921-4534(95)00082-8,11755,orthorhombic,Pnma,713.48,3.6,6.79,9.03,11.65,90,90,90
11756,Ba1Sn3,4.30 ,1997,10.1002/anie.199726831,11756,hexagonal,P6_3/mmc,264.18,6.2,7.35,7.35,5.65,90,90,120
11757,Ba1Ti1O3,NaN,,10.7566/JPSJ.82.074707,11757,trigonal,R3mH,65.64,5.9,4.03,4.03,4.03,89.84,89.84,89.84
11758,Ba2.02Cu1.01Tl1.97O6.16,NaN,,10.1103/PHYSREVB.51.12747,15794,orthorhombic,Cmce,368.04,7.61,12.28,12.28,5.59,90,90,154.11
11759,Ba2.2Cu4Y1O8,80.00 ,1993,10.1007/BF00626268,15780,orthorhombic,Cmmm,208.6,5.94,13.89,13.89,3.89,90,90,163.86
11760,Ba24Si100,1.55 ,2008,10.1103/PhysRevB.77.224507,11760,cubic,P4_132,2842.88,3.57,14.17,14.17,14.17,90,90,90
11761,Ba2Bi2K1O7,NaN,,10.1016/S0038-1098(02)00096-0,11761,tetragonal,I4mm,213.28,6.57,11.58,11.58,11.58,158.24,158.24,30.97
11762,Ba2Bi3,4.48 ,2014,10.7566/JPSJ.83.073705,11762,orthorhombic,Immm,198.62,7.54,4.81,6.96,6.96,70.54,69.79,69.79
11763,Ba2Ca0.01Cu4Er0.99O8,79.30 ,1996,10.1143/JJAP.35.L974,15854,orthorhombic,Cmmm,206.97,6.61,13.87,13.87,3.87,90,90,163.87
11764,Ba2Ca0.01Cu4Ho0.99O8,76.80 ,1996,10.1143/JJAP.35.L974,12015,orthorhombic,Cmmm,207.53,6.58,13.87,13.87,3.88,90,90,163.86
11765,Ba2Ca0.01Cu4Tm0.99O8,79.20 ,1996,10.1143/JJAP.35.L974,12033,orthorhombic,Cmmm,200.22,6.85,13.7,13.7,3.83,90,90,163.84
11766,Ba2Ca0.01Cu4Y0.99O8,79.40 ,1996,10.1143/JJAP.35.L974,15780,orthorhombic,Cmmm,208.6,5.94,13.89,13.89,3.89,90,90,163.86
11767,Ba2Ca0.025Cu4Y0.975O8,82.00 ,1993,10.1103/PhysRevB.48.607,15780,orthorhombic,Cmmm,208.6,5.94,13.89,13.89,3.89,90,90,163.86
11768,Ba2Ca0.02Cu4Y0.98O8,87.00 ,1995,10.1016/0921-4534(95)00462-9,15780,orthorhombic,Cmmm,208.6,5.94,13.89,13.89,3.89,90,90,163.86
11769,Ba2Ca0.03Cu3Y0.97O6,NaN,,10.1103/PHYSREVLETT.80.5192,12005,tetragonal,P4/mmm,183.5,5.88,3.89,3.89,12.12,90,90,90
11770,Ba2Ca0.03Cu4Er0.97O8,80.00 ,1996,10.1143/JJAP.35.L974,15854,orthorhombic,Cmmm,206.97,6.61,13.87,13.87,3.87,90,90,163.87
11771,Ba2Ca0.03Cu4Ho0.97O8,77.40 ,1996,10.1143/JJAP.35.L974,12015,orthorhombic,Cmmm,207.53,6.58,13.87,13.87,3.88,90,90,163.86
11772,Ba2Ca0.03Cu4Tm0.97O8,81.20 ,1996,10.1143/JJAP.35.L974,12033,orthorhombic,Cmmm,200.22,6.85,13.7,13.7,3.83,90,90,163.84
11773,Ba2Ca0.03Cu4Y0.97O8,81.90 ,1996,10.1143/JJAP.35.L974,15780,orthorhombic,Cmmm,208.6,5.94,13.89,13.89,3.89,90,90,163.86
11774,Ba2Ca0.05Cu4Er0.95O8,83.20 ,1996,10.1143/JJAP.35.L974,15854,orthorhombic,Cmmm,206.97,6.61,13.87,13.87,3.87,90,90,163.87
11775,Ba2Ca0.05Cu4Ho0.95O8,81.00 ,1990,10.1016/0921-4534(90)90492-W,12015,orthorhombic,Cmmm,207.53,6.58,13.87,13.87,3.88,90,90,163.86
11776,Ba2Ca0.05Cu4Tm0.95O8,84.80 ,1996,10.1143/JJAP.35.L974,12033,orthorhombic,Cmmm,200.22,6.85,13.7,13.7,3.83,90,90,163.84
11777,Ba2Ca0.05Cu4Y0.95O8,87.20 ,1995,10.1016/0167-577X(95)00154-9,15780,orthorhombic,Cmmm,208.6,5.94,13.89,13.89,3.89,90,90,163.86
11778,Ba2Ca0.075Cu4Y0.925O8,83.80 ,1992,10.1016/0921-4534(92)90650-2,15780,orthorhombic,Cmmm,208.6,5.94,13.89,13.89,3.89,90,90,163.86
11779,Ba2Ca0.07Cu4Tm0.93O8,83.30 ,1996,10.1143/JJAP.35.L974,12033,orthorhombic,Cmmm,200.22,6.85,13.7,13.7,3.83,90,90,163.84
11780,Ba2Ca0.07Cu4Y0.93O8,89.00 ,1990,10.1016/0921-4534(90)90508-C,15780,orthorhombic,Cmmm,208.6,5.94,13.89,13.89,3.89,90,90,163.86
11781,Ba2Ca0.12Cu3Y0.88O6,NaN,,10.1103/PHYSREVLETT.80.5192,12005,tetragonal,P4/mmm,183.5,5.88,3.89,3.89,12.12,90,90,90
11782,Ba2Ca0.12Cu4Y0.88O8,88.50 ,1995,10.1016/0167-577X(95)00154-9,15780,orthorhombic,Cmmm,208.6,5.94,13.89,13.89,3.89,90,90,163.86
11783,Ba2Ca0.15Cu4Ho0.85O8,87.00 ,1990,10.1016/0921-4534(90)90492-W,12015,orthorhombic,Cmmm,207.53,6.58,13.87,13.87,3.88,90,90,163.86
11784,Ba2Ca0.15Cu4Y0.85O8,90.00 ,1990,10.1016/0921-4534(90)90492-W,15780,orthorhombic,Cmmm,208.6,5.94,13.89,13.89,3.89,90,90,163.86
11785,Ba2Ca0.1Cu3Y0.9O7,81.80 ,1993,10.1016/0921-4534(93)91005-G,15791,orthorhombic,Pmmm,178.48,6.2,3.84,3.93,11.82,90,90,90
