id,formula,Tc,Time,doi,cif,system,SG_num,SG_syb,density,,,,,,
10130,Al1Nb6Sn1,15.80 ,1969,10.1063/1.1657895,10130,cubic,Pm-3,146.51,7.97,5.27,5.27,5.27,90,90,90
10131,Al0.61Mg0.39,0.85 ,1974,10.1088/0031-8949/9/6/011,10138,cubic,I-43m,1164.24,2.1,10.52,10.52,10.52,90,90,90
10132,Al0.62Ge0.38Nb3,17.20 ,,,15798,cubic,Pm-3,140.1,7.79,5.19,5.19,5.19,90,90,90
10133,Al0.66Ge0.34Nb3,20.40 ,1983,10.1002/pssa.2210770244,15798,cubic,Pm-3,140.1,7.79,5.19,5.19,5.19,90,90,90
10134,Al0.67Ga0.33Nb3,18.70 ,1968,10.1007/BF01380012,10127,cubic,Pm-3,140.63,7.72,5.2,5.2,5.2,90,90,90
10135,Al0.69B2Mg0.31,11.10 ,2002,10.1103/PhysRevB.65.132505,10126,hexagonal,P6/mmm,53.35,2.94,3.03,3.03,6.72,90,90,120
10136,Al0.6B2Mg0.4,12.00 ,2002,10.1103/PhysRevB.65.132505,10126,hexagonal,P6/mmm,53.35,2.94,3.03,3.03,6.72,90,90,120
10137,Al0.6Ge0.4Nb3,19.70 ,1968,10.1007/BF01380012,15798,cubic,Pm-3,140.1,7.79,5.19,5.19,5.19,90,90,90
10138,Al12Mg17,1.70 ,1973,10.1002/pssb.2220600116,10138,cubic,I-43m,1164.24,2.1,10.52,10.52,10.52,90,90,90
10139,Al0.6Nb3Sn0.4,13.60 ,,,10130,cubic,Pm-3,146.51,7.97,5.27,5.27,5.27,90,90,90
10140,Al0.71Ge0.29Nb3,20.70 ,1983,10.1002/pssa.2210770244,15798,cubic,Pm-3,140.1,7.79,5.19,5.19,5.19,90,90,90
10141,Al0.72Nb3.28,6.20 ,1973,"Sov.Phys.JETP, 38(1973)525",15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10142,Al0.75Ge0.25Nb3,20.20 ,1970,10.1007/BF01435282,15798,cubic,Pm-3,140.1,7.79,5.19,5.19,5.19,90,90,90
10143,Al0.76Ge0.24Nb3,20.40 ,1983,10.1002/pssa.2210770244,15798,cubic,Pm-3,140.1,7.79,5.19,5.19,5.19,90,90,90
